"account_type","action","activity_code","amount","as_of_date","check_number","commission","commission_in_gross","contra_broker","cusip","customer","description","effective_date","entry_date","exchange_rate","fees","from_location","front_exec","held_currency_code","interest","maturity_date","misc_fee","nfa_fee","order_number","output_currency_code","payee","price","principal","quantity","sales_credit","sec_fee","security_class_code","security_type","state_tax","symbol","tax_exempt_status","taxes","to_location","trade","transaction_date","user_defined_action"
"INVENTORY","Sale","","158632","","","0","Y","","01639PBJ9","91APUN00","ALISO VIEJO CALIF CTFS PARTN COPS                     2019","Thu, 03 Sep 2020 12:00:00 am EDT","Tue, 01 Sep 2020  2:23:10 am EDT","1.00000","0","","","USD","1525","","0","0","N0001F99","USD","","104.738","-157107","-150000","0","0","","FIXED","0","FIXED 01639PBJ9","N/A","0","","Y","Tue, 01 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Purchase","","-84760.04","","","0","N","","64580CFQ5","91APUN00","NEW JERSEY INFRASTRUCTURE BK ENVIRONMENT REF BDS      2019C","Thu, 03 Sep 2020 12:00:00 am EDT","Tue, 01 Sep 2020  4:36:57 am EDT","1.00000","0","","VSIN","USD","19.44","","0","0","N0007F99","USD","","121.058","84740.6","70000","0","0","","FIXED","0","FIXED 64580CFQ5","N/A","0","","Y","Tue, 01 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Sale","","85589.47","","","0","N","","64580CFQ5","91APUN00","NEW JERSEY INFRASTRUCTURE BK ENVIRONMENT REF BDS      2019C","Fri, 04 Sep 2020 12:00:00 am EDT","Wed, 02 Sep 2020  9:10:24 am EDT","1.00000","0","","","USD","29.17","","0","0","N0201F99","USD","","122.229","-85560.3","-70000","0","0","","FIXED","0","FIXED 64580CFQ5","N/A","0","","Y","Wed, 02 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Sale","","125835.3","","","0","Y","","054231QS7","91APUN00","AVON OHIO LOC SCH DIST GO UNLTD TAX IMPT BDS    2020-","Thu, 10 Sep 2020 12:00:00 am EDT","Wed, 02 Sep 2020  1:19:33 am EDT","1.00000","0","","","USD","0","","0","0","N0401F99","USD","","109.422","-125835.3","-115000","0","0","","FIXED","0","FIXED 054231QS7","N/A","0","","Y","Wed, 02 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Purchase","","-367239","","","0","Y","","355525FA9","91APUN00","FRASER VY MET RECREATIONAL DIS REF","Wed, 16 Sep 2020 12:00:00 am EDT","Wed, 02 Sep 2020 10:21:47 am EDT","1.00000","0","","","USD","0","","0","0","N0303F99","USD","","122.413","367239","300000","0","0","","FIXED","0","FIXED 355525FA9","N/A","0","","Y","Wed, 02 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Purchase","","-267501.56","","","0","N","","041806XX3","91APUN00","ARLINGTON TEX HIGHER ED FIN CO TRINTY BASIN PREPARATORY","Tue, 08 Sep 2020 12:00:00 am EDT","Thu, 03 Sep 2020  2:56:44 am EDT","1.00000","0","","VSIN","USD","1305.56","","0","0","N0001F99","USD","","133.098","266196","200000","0","0","","FIXED","0","FIXED 041806XX3","N/A","0","","Y","Thu, 03 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Sale","","29186.17","","","0","N","","306477MG2","91APUN00","FALLBROOK CALIF UN HIGH SCH DI 2016 ELECTION-SER B","Tue, 08 Sep 2020 12:00:00 am EDT","Thu, 03 Sep 2020  2:51:15 pm EDT","1.00000","0","","VSIN","USD","16.67","","0","0","N0201F99","USD","","116.678","-29169.5","-25000","0","0","","FIXED","0","FIXED 306477MG2","N/A","0","","Y","Thu, 03 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Sale","","40860.63","","","0","N","","306477MG2","91APUN00","FALLBROOK CALIF UN HIGH SCH DI 2016 ELECTION-SER B","Tue, 08 Sep 2020 12:00:00 am EDT","Thu, 03 Sep 2020  7:38:00 am EDT","1.00000","0","","VSIN","USD","23.33","","0","0","N0301F99","USD","","116.678","-40837.3","-35000","0","0","","FIXED","0","FIXED 306477MG2","N/A","0","","Y","Thu, 03 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Purchase","","-107113.93","","","0","N","","914440SL7","91APUN00","UNIVERSITY MASS BLDG AUTH PROJ TAXABLE SR BDS           2020-","Wed, 09 Sep 2020 12:00:00 am EDT","Fri, 04 Sep 2020 10:04:52 am EDT","1.00000","0","","VSIN","USD","894.93","","0","0","N0205F99","USD","","106.219","106219","100000","0","0","","FIXED","0","FIXED 914440SL7","N/A","0","","Y","Fri, 04 Sep 2020 12:00:00 am EDT",""
"INVENTORY","Sale","","369600","","","0","Y","","355525FA9","91APUN00","FRASER VY MET RECREATIONAL DIS REF","Wed, 16 Sep 2020 12:00:00 am EDT","Fri, 04 Sep 2020  8:49:39 pm EDT","1.00000","0","","","USD","0","","0","0","N0201F99","USD","","123.2","-369600","-300000","0","0","","FIXED","0","FIXED 355525FA9","N/A","0","","Y","Fri, 04 Sep 2020 12:00:00 am EDT",""
